model=claude-sonnet-5 classifying 2000 records (skipping 0 already done)
  100/2000  spend $8.00
  200/2000  spend $8.32
  300/2000  spend $8.77
  400/2000  spend $9.24
  500/2000  spend $9.63
  600/2000  spend $9.97
  700/2000  spend $10.82
  800/2000  spend $10.91
  900/2000  spend $10.91
  1000/2000  spend $10.91
  1100/2000  spend $10.91
  1200/2000  spend $10.91
  1300/2000  spend $10.91
  1400/2000  spend $10.91
  1500/2000  spend $10.91
  1600/2000  spend $10.91
  1700/2000  spend $10.91
  1800/2000  spend $10.91
